Country,Total confirmed cases,Total deaths,Confirmed recoveries,Cases confirmed today,Deaths today,Recoveries confirmed today,Total confirmed,Total_confirmed_today,Total_deaths,Total_deaths_today,Total_Recoveries,Total_Recoveries_today,Active_confirmed,Critical,Mortality_close,Mortality_confirmed,Total_tests,Total_tests_today
USA,,,,,,,16,0,0,0,3,0,13,0 (0%),13,0%,362,0
USA,,,,,,,15,0,0,0,1,0,14,0 (0%),14,0%,293,0
USA,,,,,,,14,0,0,0,1,0,13,0 (0%),13,0%,0,0
USA,,,,,,,14,0,2,0,2,0,10,0 (0%),10,14%,0,0
USA,,,,,,,14,1,1,0,7,0,6,0 (0%),6,7%,0,0
USA,,,,,,,12,2,0,0,7,3,5,0 (0%),5,0%,0,0
USA,,,,,,,12,4,1,1,1,0,10,0 (0%),10,8%,0,0
USA,,,,,,,11,0,0,0,11,1,0,0 (nan%),0,0%,770,18
USA,,,,,,,11,0,3,1,0,0,8,0 (0%),8,27%,371,0
USA,,,,,,,10,0,1,0,3,3,6,0 (0%),6,10%,0,0
USA,,,,,,,10,0,0,0,2,0,8,0 (0%),8,0%,0,0
USA,,,,,,,9,0,2,0,0,0,7,0 (0%),7,22%,0,0
USA,,,,,,,9,0,0,0,1,0,8,0 (0%),8,0%,"2,366",476
USA,,,,,,,8,0,1,0,0,0,7,0 (0%),7,13%,61,0
USA,,,,,,,8,1,1,0,0,0,7,1 (14%),7,13%,268,0
USA,,,,,,,8,0,0,0,1,0,7,0 (0%),7,0%,56,0
USA,,,,,,,8,0,1,0,0,0,7,1 (14%),7,13%,0,0
USA,,,,,,,8,1,0,0,2,2,6,0 (0%),6,0%,0,0
USA,,,,,,,7,0,1,0,1,0,5,0 (0%),5,14%,0,0
USA,,,,,,,6,0,1,0,0,0,5,0 (0%),5,17%,0,0
USA,,,,,,,6,0,1,0,0,0,5,0 (0%),5,17%,"1,154",0
USA,,,,,,,6,0,0,0,1,0,5,0 (0%),5,0%,0,0
USA,,,,,,,6,0,1,0,2,0,3,0 (0%),3,17%,67,0
USA,,,,,,,5,0,0,0,2,0,3,0 (0%),3,0%,"1,166",0
USA,,,,,,,5,3,0,0,1,1,4,0 (0%),4,0%,137,137
USA,,,,,,,4,0,1,0,2,0,1,0 (0%),1,25%,0,0
united-states,,,,,,,"469,464","2,495","16,711",75,"25,937",621,"426,816","10,011 (2%)","426,816",4%,"2,380,205","27,672"
spain,,,,,,,"157,022","3,800","15,843",396,"55,668","3,503","85,511","7,371 (9%)","85,511",10%,"355,000",0
italy,,,,,,,"143,626","4,204","18,279",610,"28,470","1,979","96,877","3,605 (4%)","96,877",13%,"853,369","46,244"
germany,,,,,,,"118,235","4,939","2,607",258,"52,407","6,107","63,221","4,895 (8%)","63,221",2%,"1,317,887",0
france,,,,,,,"117,749","4,799","12,210","1,341","23,206","1,952","82,333","7,066 (9%)","82,333",10%,"333,807","109,553"
china,,,,,,,"82,921",57,"3,340",1,"77,768",108,"1,813",144 (8%),"1,813",4%,0,0
iran,,,,,,,"68,192","1,972","4,232",122,"35,465","3,156","28,495","3,969 (14%)","28,495",6%,"242,568","11,175"
united-kingdom,,,,,,,"65,844","4,398","7,992",882,358,14,"57,494","1,559 (3%)","57,494",12%,"298,169","16,095"
turkey,,,,,,,"42,282","4,056",908,96,"2,142",296,"39,232","1,552 (4%)","39,232",2%,"276,338","28,570"
belgium,,,,,,,"26,667","1,684","3,019",496,"5,568",404,"18,080","1,278 (7%)","18,080",11%,"84,248",0
switzerland,,,,,,,"24,427",376,987,39,"10,600",0,"12,840",386 (3%),"12,840",4%,"178,500",0
netherlands,,,,,,,"23,229","1,342","2,519",117,273,2,"20,437","1,424 (7%)","20,437",11%,"101,534",0
canada,,,,,,,"20,765","1,327",509,82,"5,311",763,"14,945",518 (3%),"14,945",2%,"370,315","8,346"
brazil,,,,,,,"18,176",31,957,3,173,0,"17,046",296 (2%),"17,046",5%,"62,985",0
portugal,,,,,,,"15,472","1,516",435,26,233,28,"14,804",226 (2%),"14,804",3%,"144,000","3,632"
austria,,,,,,,"13,494",250,319,24,"6,064",824,"7,111",261 (4%),"7,111",2%,"134,743","8,456"
russia,,,,,,,"11,917","1,786",94,18,795,97,"11,028",8 (0%),"11,028",1%,"1,090,000","85,281"
south-korea,,,,,,,"10,450",27,208,4,"7,117",144,"3,125",55 (2%),"3,125",2%,"503,051","25,747"
israel,,,,,,,"10,095",127,92,6,"1,061",50,"8,942",164 (2%),"8,942",1%,"117,339",0
sweden,,,,,,,"9,685",544,870,77,205,0,"8,610",749 (9%),"8,610",9%,"54,700",0
india,,,,,,,"6,725",809,226,48,620,114,"5,879",0 (0%),"5,879",3%,"177,584","10,349"
ireland,,,,,,,"6,574",500,263,28,25,0,"6,286",165 (3%),"6,286",4%,"53,000","10,516"
norway,,,,,,,"6,244",25,108,0,32,0,"6,104",70 (1%),"6,104",2%,"121,034",0
australia,,,,,,,"6,203",51,54,3,"3,141",154,"3,008",74 (2%),"3,008",1%,"338,346","8,212"
denmark,,,,,,,"6,003",184,247,10,"1,918",46,"3,838",113 (3%),"3,838",4%,"64,731",729
chile,,,,,,,"5,972",426,57,9,"1,274",159,"4,641",360 (8%),"4,641",1%,"68,353","7,962"
poland,,,,,,,"5,742",167,175,1,318,34,"5,249",160 (3%),"5,249",3%,"118,295","10,698"
czechia,,,,,,,"5,589",20,113,1,309,8,"5,167",98 (2%),"5,167",2%,"114,854","8,009"
japan,,,,,,,"5,530",863,99,5,685,53,"4,746",109 (2%),"4,746",2%,"64,387","2,889"
romania,,,,,,,"5,467",265,265,17,729,82,"4,473",183 (4%),"4,473",5%,"55,430","3,628"
peru,,,,,,,"5,256",914,138,17,"1,438",105,"3,680",124 (3%),"3,680",3%,"48,465","8,866"
ecuador,,,,,,,"4,965",515,272,30,339,199,"4,354",139 (3%),"4,354",5%,"19,102","4,696"
pakistan,,,,,,,"4,601",112,66,1,727,155,"3,808",45 (1%),"3,808",1%,"54,706","9,810"
malaysia,,,,,,,"4,346",118,70,3,"1,830",222,"2,446",69 (3%),"2,446",2%,"69,675","6,308"
philippines,,,,,,,"4,195",119,221,18,140,16,"3,834",1 (0%),"3,834",5%,"24,500",0
saudi-arabia,,,,,,,"3,651",364,47,3,685,19,"2,919",57 (2%),"2,919",1%,"115,585",0
indonesia,,,,,,,"3,512",219,306,26,282,30,"2,924",0 (0%),"2,924",9%,"17,679","3,325"
mexico,,,,,,,"3,441",260,194,20,633,0,"2,614",89 (3%),"2,614",6%,"31,492","6,082"
luxembourg,,,,,,,"3,115",81,52,6,500,0,"2,563",30 (1%),"2,563",2%,"27,521",948
serbia,,,,,,,"3,105",238,71,5,118,0,"2,916",136 (5%),"2,916",2%,"14,240","1,893"
united-arab-emirates,,,,,,,"2,990",331,14,2,268,29,"2,708",1 (0%),"2,708",0%,"593,095",0
finland,,,,,,,"2,769",164,48,6,300,0,"2,421",82 (3%),"2,421",2%,"41,200","2,200"
panama,,,,,,,"2,752",224,66,3,16,0,"2,670",107 (4%),"2,670",2%,"11,776",0
qatar,,,,,,,"2,512",136,6,0,227,21,"2,279",37 (2%),"2,279",0%,"45,339","2,195"
thailand,,,,,,,"2,473",50,33,1,"1,013",73,"1,427",61 (4%),"1,427",1%,"71,860",0
dominican-republic,,,,,,,"2,349",238,118,10,80,30,"2,151",147 (7%),"2,151",5%,"7,151","2,609"
colombia,,,,,,,"2,223",169,69,14,174,51,"1,980",85 (4%),"1,980",3%,"33,575",0
ukraine,,,,,,,"2,203",311,69,12,61,16,"2,073",33 (2%),"2,073",3%,"23,522","2,914"
singapore,,,,,,,"2,108",198,7,0,492,32,"1,609",29 (2%),"1,609",0%,"72,680","7,680"
south-africa,,,,,,,"2,003",69,24,6,410,315,"1,569",7 (0%),"1,569",1%,"73,028","4,154"
belarus,,,,,,,"1,981",495,19,3,169,30,"1,793",72 (4%),"1,793",1%,"53,000","4,000"
greece,,,,,,,"1,955",71,87,4,269,0,"1,599",79 (5%),"1,599",4%,"33,634","1,106"
argentina,,,,,,,"1,894",99,79,14,365,7,"1,450",96 (7%),"1,450",4%,"14,850","1,520"
egypt,,,,,,,"1,699",139,118,15,348,43,"1,233",0 (0%),"1,233",7%,"25,000",0
iceland,,,,,,,"1,675",27,6,0,751,63,918,11 (1%),918,0%,"34,125","1,462"
algeria,,,,,,,"1,666",94,235,30,347,110,"1,084",46 (4%),"1,084",14%,"3,359",0
croatia,,,,,,,"1,495",88,21,1,231,12,"1,243",34 (3%),"1,243",1%,"14,612",932
moldova,,,,,,,"1,438",149,29,0,56,6,"1,353",80 (6%),"1,353",2%,"6,271","1,163"
morocco,,,,,,,"1,431",57,105,8,114,5,"1,212",1 (0%),"1,212",7%,"6,854",738
new-zealand,,,,,,,"1,283",44,2,1,373,56,908,5 (1%),908,0%,"55,685","4,520"
estonia,,,,,,,"1,258",51,24,0,93,10,"1,141",9 (1%),"1,141",2%,"27,883","1,467"
iraq,,,,,,,"1,232",30,69,0,496,44,667,0 (0%),667,6%,"30,466","2,052"
hungary,,,,,,,"1,190",210,77,11,112,16,"1,001",17 (2%),"1,001",6%,"29,948","2,122"
slovenia,,,,,,,"1,160",36,45,2,137,9,978,36 (4%),978,4%,"33,047","1,234"
lithuania,,,,,,,999,44,22,6,54,46,923,14 (2%),923,2%,"36,051","3,242"
kuwait,,,,,,,993,83,1,0,123,12,869,26 (3%),869,0%,0,0
hong-kong,,,,,,,990,16,4,0,309,16,677,15 (2%),677,0%,"96,709",0
armenia,,,,,,,937,16,12,2,149,11,776,30 (4%),776,1%,"6,081",258
azerbaijan,,,,,,,926,104,9,1,101,38,816,27 (3%),816,1%,"57,371","4,071"
bahrain,,,,,,,913,26,6,1,530,11,377,3 (1%),377,1%,"57,307","2,211"
bosnia-and-herzegovina,,,,,,,886,28,36,1,129,28,721,4 (1%),721,4%,"6,911",0
cameroon,,,,,,,803,73,12,2,61,1,730,0 (0%),730,1%,0,0
kazakhstan,,,,,,,802,21,9,1,64,4,729,21 (3%),729,1%,"61,955","2,584"
slovakia,,,,,,,715,14,2,0,23,0,690,5 (1%),690,0%,"22,957","1,586"
cruise-ship,,,,,,,712,0,11,0,619,0,82,10 (12%),82,2%,0,0
north-macedonia,,,,,,,711,48,32,2,41,4,638,15 (2%),638,5%,"6,571",0
tunisia,,,,,,,643,15,25,1,25,0,593,78 (13%),593,4%,"9,570",692
bulgaria,,,,,,,635,17,25,1,54,6,556,33 (6%),556,4%,"18,502","2,603"
uzbekistan,,,,,,,624,42,3,0,42,4,579,8 (1%),579,0%,"70,000",0
latvia,,,,,,,612,23,3,0,16,0,593,3 (1%),593,0%,"26,656","1,198"
lebanon,,,,,,,609,27,20,1,67,0,522,28 (5%),522,3%,"13,530","1,006"
andorra,,,,,,,601,18,26,1,71,13,504,17 (3%),504,4%,"1,673",0
cyprus,,,,,,,564,38,10,1,53,1,501,13 (3%),501,2%,"14,273",0
costa-rica,,,,,,,539,37,3,0,30,1,506,13 (3%),506,1%,"6,298",263
afghanistan,,,,,,,521,37,15,0,32,0,474,0 (0%),474,3%,0,0
cuba,,,,,,,515,58,15,3,28,1,472,15 (3%),472,3%,"9,410",0
oman,,,,,,,484,27,3,0,109,0,372,3 (1%),372,1%,0,0
uruguay,,,,,,,473,17,7,0,206,14,260,13 (5%),260,1%,"6,856",681
ivory-coast,,,,,,,444,60,3,0,52,4,389,0 (0%),389,1%,0,0
burkina-faso,,,,,,,443,29,24,1,146,12,273,0 (0%),273,5%,0,0
bangladesh,,,,,,,424,94,27,6,33,0,364,1 (0%),364,6%,"7,359","1,184"
albania,,,,,,,416,7,23,0,182,17,211,7 (3%),211,6%,"3,385",162
niger,,,,,,,410,68,11,0,40,12,359,0 (0%),359,3%,"4,251",52
taiwan,,,,,,,382,2,6,1,91,11,285,0 (0%),285,2%,"43,886","1,571"
honduras,,,,,,,382,39,23,0,7,1,352,10 (3%),352,6%,"1,600","1,600"
ghana,,,,,,,378,65,6,0,3,0,369,2 (1%),369,2%,"12,046","12,046"
jordan,,,,,,,372,14,7,1,161,11,204,5 (2%),204,2%,"17,000",0
réunion,,,,,,,362,4,0,0,40,0,322,4 (1%),322,0%,0,0
channel-islands,,,,,,,361,10,8,0,40,2,313,0 (0%),313,2%,"1,157",0
malta,,,,,,,350,13,2,0,16,0,332,4 (1%),332,1%,"13,732",0
san-marino,,,,,,,344,11,34,0,50,1,260,14 (5%),260,10%,846,0
mauritius,,,,,,,314,41,7,0,23,4,284,3 (1%),284,2%,"6,730","1,817"
kyrgyzstan,,,,,,,298,18,5,1,35,0,258,5 (2%),258,2%,"9,618",0
nigeria,,,,,,,288,12,7,1,51,7,230,2 (1%),230,2%,"5,000",0
bolivia,,,,,,,268,4,19,1,2,0,247,3 (1%),247,7%,591,0
west-bank-and-gaza,,,,,,,266,3,2,1,45,1,219,0 (0%),219,1%,0,0
palestine,,,,,,,266,3,2,1,45,1,219,0 (0%),219,1%,"16,068",0
senegal,,,,,,,265,15,2,0,137,14,126,1 (1%),126,1%,0,0
vietnam,,,,,,,257,2,0,0,144,16,113,8 (7%),113,0%,"114,241",0
montenegro,,,,,,,255,3,2,0,4,0,249,7 (3%),249,1%,"2,329",0
georgia,,,,,,,230,12,3,0,54,3,173,6 (3%),173,1%,"3,271",0
congo-kinshasa,,,,,,,215,35,20,2,13,4,182,0 (0%),182,9%,0,0
guinea,,,,,,,194,30,0,0,11,6,183,0 (0%),183,0%,0,0
mayotte,,,,,,,191,7,2,0,50,24,139,4 (3%),139,1%,"1,300",200
isle-of-man,,,,,,,190,32,1,0,92,10,97,12 (12%),97,1%,"1,879",55
sri-lanka,,,,,,,190,1,7,0,49,5,134,5 (4%),134,4%,"3,248",0
kenya,,,,,,,189,5,7,0,22,10,160,2 (1%),160,4%,"5,278",0
kosovo,,,,,,,184,0,5,0,30,0,149,0 (0%),149,3%,0,0
faroe-islands,,,,,,,184,0,0,0,136,5,48,0 (0%),48,0%,"5,299",146
venezuela,,,,,,,171,4,9,0,84,19,78,6 (8%),78,5%,"139,282","137,503"
martinique,,,,,,,154,0,6,0,50,0,98,19 (19%),98,4%,0,0
djibouti,,,,,,,150,10,1,0,36,8,113,0 (0%),113,1%,"3,740",341
guadeloupe,,,,,,,143,2,8,0,67,24,68,13 (19%),68,6%,0,0
brunei,,,,,,,136,1,1,0,99,7,36,3 (8%),36,1%,"9,342",357
paraguay,,,,,,,129,5,6,1,18,0,105,1 (1%),105,5%,"2,262",223
guatemala,,,,,,,126,31,3,0,17,0,106,3 (3%),106,2%,"1,134",0
gibraltar,,,,,,,123,3,0,0,60,0,63,1 (2%),63,0%,"1,511",30
cambodia,,,,,,,119,2,0,0,62,0,57,1 (2%),57,0%,"5,768",0
el-salvador,,,,,,,117,14,6,0,15,1,96,4 (4%),96,5%,0,0
rwanda,,,,,,,113,3,0,0,7,0,106,0 (0%),106,0%,806,0
trinidad-and-tobago,,,,,,,109,2,8,0,1,0,100,0 (0%),100,7%,987,109
madagascar,,,,,,,93,0,0,0,11,0,82,1 (1%),82,0%,0,0
mali,,,,,,,87,13,7,0,22,0,58,0 (0%),58,8%,0,0
monaco,,,,,,,84,3,1,0,5,1,78,4 (5%),78,1%,0,0
french-guiana,,,,,,,83,0,0,0,43,0,40,1 (3%),40,0%,0,0
aruba,,,,,,,82,5,0,0,20,6,62,0 (0%),62,0%,"1,008",18
liechtenstein,,,,,,,78,0,1,0,55,0,22,0 (0%),22,1%,900,0
togo,,,,,,,76,3,3,0,25,1,48,0 (0%),48,4%,"2,069",322
barbados,,,,,,,66,3,3,0,11,3,52,4 (8%),52,5%,694,39
ethiopia,,,,,,,65,9,2,0,4,0,59,1 (2%),59,3%,"3,232",442
jamaica,,,,,,,63,0,4,0,12,2,47,0 (0%),47,6%,907,367
congo-brazzaville,,,,,,,60,15,5,0,5,3,50,0 (0%),50,8%,0,0
sint-maarten,,,,,,,50,7,8,2,3,2,39,2 (5%),39,16%,134,22
bermuda,,,,,,,48,9,4,1,25,2,19,0 (0%),19,8%,354,39
macau,,,,,,,45,0,0,0,10,0,35,1 (3%),35,0%,0,0
cayman-islands,,,,,,,45,0,1,0,6,0,38,0 (0%),38,2%,479,0
gabon,,,,,,,44,10,1,0,1,0,42,0 (0%),42,2%,0,0
bahamas,,,,,,,41,1,8,1,5,0,28,1 (4%),28,20%,0,0
zambia,,,,,,,40,1,2,1,25,1,13,1 (8%),13,5%,"1,239",0
guyana,,,,,,,37,0,6,0,8,0,23,4 (17%),23,16%,145,0
tanzania,,,,,,,32,7,3,2,5,0,24,0 (0%),24,9%,0,0
saint-martin,,,,,,,32,0,2,0,7,0,23,6 (26%),23,6%,0,0
liberia,,,,,,,31,0,4,0,3,0,24,0 (0%),24,13%,0,0
haiti,,,,,,,30,3,2,1,0,0,28,0 (0%),28,7%,257,0
myanmar,,,,,,,27,4,3,0,2,0,22,0 (0%),22,11%,"1,406",160
benin,,,,,,,26,0,1,0,5,0,20,0 (0%),20,4%,0,0
libya,,,,,,,24,3,1,0,8,0,15,0 (0%),15,4%,492,137
antigua-and-barbuda,,,,,,,19,0,2,0,0,0,17,1 (6%),17,11%,40,0
syria,,,,,,,19,0,2,0,4,0,13,0 (0%),13,11%,0,0
angola,,,,,,,19,0,2,0,2,0,15,0 (0%),15,11%,0,0
maldives,,,,,,,19,0,0,0,13,0,6,0 (0%),6,0%,0,0
equatorial-guinea,,,,,,,18,0,0,0,3,0,15,0 (0%),15,0%,854,0
new-caledonia,,,,,,,18,0,0,0,1,0,17,0 (0%),17,0%,"2,320",0
mozambique,,,,,,,17,0,0,0,1,0,16,0 (0%),16,0%,483,16
dominica,,,,,,,16,1,0,0,5,4,11,0 (0%),11,0%,309,16
namibia,,,,,,,16,0,0,0,3,0,13,0 (0%),13,0%,362,0
mongolia,,,,,,,16,0,0,0,4,0,12,0 (0%),12,0%,0,0
sudan,,,,,,,15,1,2,0,2,0,11,0 (0%),11,13%,0,0
curaçao,,,,,,,14,0,1,0,7,0,6,0 (0%),6,7%,0,0
saint-lucia,,,,,,,14,0,0,0,1,0,13,0 (0%),13,0%,0,0
botswana,,,,,,,13,7,1,0,0,0,12,0 (0%),12,8%,"1,154",0
st-vincent-grenadines,,,,,,,12,4,0,0,1,0,11,0 (0%),11,0%,56,0
somalia,,,,,,,12,0,1,0,1,0,10,0 (0%),10,8%,0,0
eswatini,,,,,,,12,0,0,0,7,0,5,0 (0%),5,0%,0,0
chad,,,,,,,11,1,0,0,2,0,9,0 (0%),9,0%,0,0
greenland,,,,,,,11,0,0,0,11,0,0,0 (nan%),0,0%,770,0
zimbabwe,,,,,,,11,0,3,0,0,0,8,0 (0%),8,27%,371,0
belize,,,,,,,10,1,1,0,0,0,9,1 (11%),9,10%,364,0
suriname,,,,,,,10,0,1,0,4,1,5,0 (0%),5,10%,0,0
nepal,,,,,,,9,0,0,0,1,0,8,0 (0%),8,0%,"2,895",529
ms-zaandam,,,,,,,9,0,2,0,0,0,7,0 (0%),7,22%,0,0
malawi,,,,,,,9,1,1,0,0,0,8,1 (13%),8,11%,0,0
vatican-city,,,,,,,8,0,0,0,2,0,6,0 (0%),6,0%,0,0
turks-and-caicos,,,,,,,8,0,1,0,0,0,7,0 (0%),7,13%,61,0
nicaragua,,,,,,,7,1,1,0,0,0,6,0 (0%),6,14%,0,0
cabo-verde,,,,,,,7,0,1,0,1,0,5,0 (0%),5,14%,0,0
mauritania,,,,,,,7,1,1,0,2,0,4,0 (0%),4,14%,258,191
st-barth,,,,,,,6,0,0,0,1,0,5,0 (0%),5,0%,0,0
bhutan,,,,,,,5,0,0,0,2,0,3,0 (0%),3,0%,"1,166",0
falkland-islands,,,,,,,5,0,0,0,1,0,4,0 (0%),4,0%,137,0
gambia,,,,,,,4,0,1,0,2,0,1,0 (0%),1,25%,0,0
timor-leste,,,,,,,2,1,0,0,1,1,1,0 (0%),1,0%,0,0
united-states,,,,,,,"534,494","2,551","20,637",82,"30,548",730,"483,309","11,471 (2%)","483,309",4%,"2,699,678","28,670"
spain,,,,,,,"166,019","2,992","16,972",366,"62,391","3,282","86,656","7,371 (9%)","86,656",10%,"355,000",0
italy,,,,,,,"152,271","4,694","19,468",619,"32,534","2,079","100,269","3,381 (3%)","100,269",13%,"963,473","56,609"
france,,,,,,,"129,654","4,785","13,832",635,"26,391","1,459","89,431","6,883 (8%)","89,431",11%,"333,807",0
germany,,,,,,,"125,834",382,"2,886",15,"57,400",0,"65,548","4,895 (7%)","65,548",2%,"1,317,887",0
united-kingdom,,,,,,,"85,144","5,298","10,628",737,622,3,"73,894","1,559 (2%)","73,894",12%,"352,974","18,000"
china,,,,,,,"83,115",120,"3,343",0,"77,937",79,"1,835",139 (8%),"1,835",4%,0,0
iran,,,,,,,"71,686","1,657","4,474",117,"43,894","1,947","23,318","3,930 (17%)","23,318",6%,"263,388","11,685"
turkey,,,,,,,"52,167","5,138","1,101",95,"2,965",542,"48,101","1,626 (3%)","48,101",2%,"340,380","33,170"
belgium,,,,,,,"29,647","1,629","3,600",254,"6,463",477,"19,584","1,223 (6%)","19,584",12%,"102,151",0
netherlands,,,,,,,"25,729","1,174","2,746",94,284,0,"22,699","1,384 (6%)","22,699",11%,"101,534",0
switzerland,,,,,,,"25,300",193,"1,081",45,"12,100",0,"12,119",386 (3%),"12,119",4%,"193,800","3,800"
canada,,,,,,,"23,318","1,170",653,84,"6,428",415,"16,237",557 (3%),"16,237",3%,"401,552","31,237"
brazil,,,,,,,"21,042",80,"1,144",4,173,0,"19,725",296 (2%),"19,725",5%,"62,985",0
portugal,,,,,,,"16,585",598,504,34,277,11,"15,804",228 (1%),"15,804",3%,"163,616",818
russia,,,,,,,"15,770","2,186",130,24,"1,291",246,"14,349",8 (0%),"14,349",1%,"1,200,000","15,558"
austria,,,,,,,"13,945",139,350,13,"6,987",383,"6,608",243 (4%),"6,608",3%,"144,877","3,902"
israel,,,,,,,"10,878",135,103,2,"1,388",47,"9,387",174 (2%),"9,387",1%,"117,339",0
south-korea,,,,,,,"10,512",32,214,3,"7,368",125,"2,930",55 (2%),"2,930",2%,"514,621","4,142"
sweden,,,,,,,"10,483",332,899,12,381,0,"9,203",839 (9%),"9,203",9%,"54,700",0
ireland,,,,,,,"8,928",839,320,33,25,0,"8,583",194 (2%),"8,583",4%,"53,000",0
india,,,,,,,"8,504",58,289,1,972,3,"7,243",0 (0%),"7,243",3%,"189,111",0
ecuador,,,,,,,"7,257",96,315,18,411,43,"6,531",184 (3%),"6,531",4%,"21,568",0
chile,,,,,,,"7,213",286,73,0,"2,059",195,"5,081",383 (8%),"5,081",1%,"76,374",0
peru,,,,,,,"6,848",951,181,12,"1,739",170,"4,928",142 (3%),"4,928",3%,"67,712","11,031"
japan,,,,,,,"6,748",743,108,9,762,0,"5,878",117 (2%),"5,878",2%,"68,771","4,384"
norway,,,,,,,"6,485",76,124,5,32,0,"6,329",59 (1%),"6,329",2%,"126,486","2,207"
denmark,,,,,,,"6,358",178,273,13,"2,280",180,"3,805",104 (3%),"3,805",4%,"70,125","2,354"
poland,,,,,,,"6,356",401,208,27,375,57,"5,773",160 (3%),"5,773",3%,"129,560","11,265"
australia,,,,,,,"6,313",10,60,3,"3,338",73,"2,915",81 (3%),"2,915",1%,"353,941","2,561"
romania,,,,,,,"6,300",310,306,15,852,94,"5,142",204 (4%),"5,142",5%,"62,328","3,056"
czechia,,,,,,,"5,905",3,132,3,422,11,"5,351",87 (2%),"5,351",2%,"125,126","4,841"
pakistan,,,,,,,"5,170",159,88,2,"1,026",264,"4,056",37 (1%),"4,056",2%,"61,801","3,965"
malaysia,,,,,,,"4,683",153,76,3,"2,108",113,"2,499",66 (3%),"2,499",2%,"71,897",0
philippines,,,,,,,"4,648",220,297,50,197,40,"4,154",1 (0%),"4,154",6%,"33,814","9,314"
saudi-arabia,,,,,,,"4,462",429,59,7,761,41,"3,642",67 (2%),"3,642",1%,"115,585",0
indonesia,,,,,,,"4,241",399,373,46,359,73,"3,509",0 (0%),"3,509",9%,"27,075","7,623"
mexico,,,,,,,"4,219",375,273,40,"1,772","1,139","2,174",89 (4%),"2,174",6%,"35,479","3,987"
united-arab-emirates,,,,,,,"3,736",376,20,4,588,170,"3,128",1 (0%),"3,128",1%,"648,195","55,100"
serbia,,,,,,,"3,630",250,80,6,118,0,"3,432",146 (4%),"3,432",2%,"18,312","1,913"
luxembourg,,,,,,,"3,270",47,62,8,500,0,"2,708",30 (1%),"2,708",2%,"28,965",692
panama,,,,,,,"3,234",260,79,5,23,6,"3,132",104 (3%),"3,132",2%,"14,588","2,812"
qatar,,,,,,,"2,979",251,7,1,275,28,"2,697",37 (1%),"2,697",0%,"49,102","1,351"
finland,,,,,,,"2,974",69,56,7,300,0,"2,618",80 (3%),"2,618",2%,"45,019",665
ukraine,,,,,,,"2,777",266,83,10,89,10,"2,605",45 (2%),"2,605",3%,"30,314","3,737"
dominican-republic,,,,,,,"2,759",139,135,9,108,10,"2,516",147 (6%),"2,516",5%,"8,469",533
colombia,,,,,,,"2,709",236,100,20,214,17,"2,395",92 (4%),"2,395",4%,"40,603","3,010"
belarus,,,,,,,"2,578",352,26,3,203,31,"2,349",50 (2%),"2,349",1%,"64,000","11,000"
thailand,,,,,,,"2,551",33,38,3,"1,218",83,"1,295",61 (5%),"1,295",1%,"71,860",0
singapore,,,,,,,"2,299",191,8,1,528,36,"1,763",31 (2%),"1,763",0%,"72,680",0
argentina,,,,,,,"2,142",167,90,7,440,0,"1,612",83 (5%),"1,612",4%,"19,758","3,379"
greece,,,,,,,"2,081",70,93,1,269,0,"1,719",75 (4%),"1,719",4%,"37,344","1,812"
south-africa,,,,,,,"2,028",25,25,1,410,0,"1,593",7 (0%),"1,593",1%,"75,053","2,025"
egypt,,,,,,,"1,939",145,146,11,426,42,"1,367",0 (0%),"1,367",8%,"25,000",0
algeria,,,,,,,"1,825",64,275,19,460,55,"1,090",46 (4%),"1,090",15%,"3,359",0
iceland,,,,,,,"1,701",12,8,0,889,48,804,10 (1%),804,0%,"35,253",618
moldova,,,,,,,"1,662",102,31,1,94,19,"1,537",80 (5%),"1,537",2%,"6,271",0
morocco,,,,,,,"1,617",72,113,2,153,7,"1,351",1 (0%),"1,351",7%,"8,473",739
croatia,,,,,,,"1,600",66,23,2,373,50,"1,204",34 (3%),"1,204",1%,"16,381",690
hungary,,,,,,,"1,410",100,99,14,118,3,"1,193",58 (5%),"1,193",7%,"33,532","1,571"
new-zealand,,,,,,,"1,330",18,4,0,471,49,855,5 (1%),855,0%,"61,167","2,421"
iraq,,,,,,,"1,318",39,72,2,601,51,645,0 (0%),645,5%,"33,889","1,731"
estonia,,,,,,,"1,309",5,25,1,98,5,"1,186",11 (1%),"1,186",2%,"30,349",893
kuwait,,,,,,,"1,234",80,1,0,142,9,"1,091",29 (3%),"1,091",0%,0,0
slovenia,,,,,,,"1,205",17,53,3,150,2,"1,002",35 (3%),"1,002",4%,"34,851",572
azerbaijan,,,,,,,"1,098",40,11,0,250,50,837,27 (3%),837,1%,"66,677","5,335"
bahrain,,,,,,,"1,087",47,6,0,557,2,524,3 (1%),524,1%,"60,425",0
lithuania,,,,,,,"1,053",27,23,0,97,43,933,14 (2%),933,2%,"40,712","2,240"
armenia,,,,,,,"1,013",46,13,0,197,24,803,30 (4%),803,1%,"7,164",680
hong-kong,,,,,,,"1,005",4,4,0,360,24,641,13 (2%),641,0%,"96,709",0
bosnia-and-herzegovina,,,,,,,"1,000",54,38,1,193,54,769,4 (1%),769,4%,"10,975","4,064"
kazakhstan,,,,,,,911,46,10,0,99,18,802,21 (3%),802,1%,"69,304","7,349"
uzbekistan,,,,,,,833,66,4,0,65,23,764,8 (1%),764,0%,"70,000",0
